Id,Username,Age,Skin_Description,Date,Rating,Review
1,memeladeng,30 - 34,"Combination, Medium, Neutral",4 days ago,4,"Formula lembutnya bebas alkohol, sangat aman untuk pemakaian sehari-hari. Kandungan brightening-nya memberikan efek cerah alami pada wajah. Yang menarik, harganya sangat terjangkau untuk kualitas sebagus ini."
2,abelianti,19 - 24,"Combination, Medium, Cool",11 Jan 2025,4,"Micellar Water yang kandungan utama nya Niasorcinol berfungsi untuk menyamarkan noda hitam dan mengurangi tampilan kusam, sat set banget untuk mengangkat kotoran serta makeup secara menyeluruh. Biasanya aku pake MW dulu setelah itu facewash. Penting bgt ya untuk double cleasing, untuk kulit tidak sensitif aku recommend MW ini langsung usap ga ribet, tapi kalo kamu kulitnya sensitif bisa pake cleansing oil. Sebelumnya sudah pernah pake kemasan yg lama, kalo ini dapat sample di st.MRT."
3,nadnaddd06,19 - 24,"Combination, Light, Neutral",04 Jan 2025,5,"awal-awal pakai skincare untuk double cleasing aku pakai mw ini, efek nya BRIGHTENING nya dapet & membersihkan wajah nya cukup ringkes buat daily buat yang mau SATSET okenih pakai ini tinggal usap & cuci muka kelar deh lanjut skincare lain. pelajar yang baru mulai coba-coba skincare aku rekomendasi pakai ini, tapi untuk yang SENSITIF SKIN jangan pakai mw yaa buat double cleans better oil atau balm biar kulit kalian tidak BREAKOUT nantinya akibat bergesekan dengan kapas mulu kulit nya."
4,sallsaaz,19 - 24,"Combination, Medium, Neutral",30 Dec 2024,4,"Kemasannya dr botol plastik ramping gitu, teksturnya cair, kandungan utamanya niasorcinol, ada wangi yg cukup strong ky bunga rose tp ngebuat relax pas dipake, daya ngebersihin buat double cleansing sih oke, tp pas dipake buat ngebersihin make up agak effort di bagian maskara, butuh beberapa kapas buat ngeswipe lg, tp selama ga ngebuat muka aku iritasi jd aku tetep pake daan hasilnya mayan baguus!"
5,niameiliani,19 - 24,"Combination, Medium Light, Neutral",25 Dec 2024,5,"beli ini karena penasaran di review dan dipake sama Nanda Arsynta dan mursidaaa pwol, cocok di kantongg tanggal tua ini , enakk dipakai engga bikin kulit perih, ataupun terasa kering setelah digunakan. worth to try ya best ! nampol juga bersihin make up dan debu jalanan yg jahanam"
6,yerikarum,25 - 29,"Combination, Medium Light, Cool",25 Dec 2024,3,"Aku beli ini karena penasaran aja, siapa tau nemu micellar water yang lebih oke dari sebelumnya. Kesan setelah pemakaian menurutku bersihinnya kurang oke, masih ninggalin residu dan lebih kerasa kaya toner karena wangið"
7,Mariskasafitrii,18 and Under,"Oily, Medium Light, Neutral",21 Dec 2024,4,"Bagus si untuk kulit sensitif-oily memang da tntangan tersendiri ð¥², awal coba itu pas semingguan lah itu tumbuh jerawat batu.Aku tiap hari make up an, hasil nya lembut di kulit but kurang gentle menurut ku jdi prlu effort alias kapas bnyak"
8,wilmaseptia,19 - 24,"Oily, Light, Cool",21 Dec 2024,5,"Pond's Micellar Miracle Water Brightening menurut aku salah satu micellar water yang aman juga buat semua jenis kulit sih, karena non alcohol jadi gabikin kulit jadi sensitif dan kemerahan. Menurut aku buat bersihin debu, kotoran, dan make up daily tuh effortless dan sekali swipe aja, tapi emang micellar water ini gabisa buat make up waterproof yaa. Kekurangannya cuma satu sih, wangi fragrance nya nyengat banget, padahal yang varian Oil Control tuh aku suka banget karena gaada wanginya. Untuk efek brightening setelah membersihkan wajah juga dapet bgt kok, so far recommended sih"
9,dederazzan,35 - 39,"Combination, Medium, Neutral",20 Dec 2024,4,"Micellar water drugstore yang gampang dicari ni, emang bisa banget bersihin bekas foundation, eyeshadow n lipcream dan kotoran lain di wajah tapi harus agak effort untuk bersihin maskara waterproof karena lumayan susah ilangnya. Dipakainya masih nyaman tapi kok, ini micellar water yang bisa dipake sebagai toner n essence juga jadi kegunaannya all in one gitu."
10,nindihidayanti,25 - 29,"Dry, Medium, Neutral",13 Dec 2024,5,"Cocok sekali untuk type kulit ku yg kering dan sensitif setelah di bersihkan pakai ponds micellar water kulit ku jadi tetap lembab tidak kering dan ketarikBisa mengangkan kotoran serta makeup menyeluruh, tinggal sisa sedikit lagi punyaku dirumah hihi"
11,sisil122,18 and Under,"Combination, Medium, Neutral",12 Dec 2024,5,"Nah kalo ini sih baru aja pake haha tapi cocok sih, gaada keluhan apapun di muka aku namanya micellar water semua pasti butuh, aku suka yang gak bikin muka tuh kayak berbusa atau ada sabun,jd ga lebay di muka haha yuk ges yang mau coba pake micellar water nya ponds boleh bingits"
12,esterserafina,19 - 24,"Combination, Medium Dark, Warm",11 Dec 2024,5,"Tingkat membersihkan debu & kotoran mantap! After pemakaiannya wajah jadi cerah, lembab dingin gitu dan greasy. Aku belum pakai untuk membersihkan makeup (i'll updated you klo later lagi makeup an). Thank you Pond's!"
13,hanidwn,25 - 29,"Combination, Medium Light, Neutral",10 Dec 2024,5,"Pake micellar ini tuh enak banget,rasanya kayak pakai air, karena ringan banget, tapi ga mengurangi fungsinya ngebersihin makeup, bahkan dia ga perih kalo kena mata, aku uda repurchase 6x , cocok banget pake ini, harga juga affordable, dibelinya juga gampang, pokoknya micellar terbaik kata aku mah"
14,dhin1515,18 and Under,"Combination, Medium, Warm",08 Dec 2024,5,"Harga micelar Yang bener bener murah dan nampol di kulit ber make up. Ini sih yang paling affordable dan mudah di cari di drugstore mana aja. Terksturnya nggak berminyak, bikin wajah fresh banget dan suka banget menghapus make up pakai ponds micelar water"
15,Sofylayini_10,19 - 24,"Normal, Medium, Neutral",08 Dec 2024,5,Dapat menghapus make up kita dan juga membuat kulit wajah kita menjadi lebih cerah dalam melakukan pembersihan make up after menggunakan kulit menjadi lebih lembut dan sangat lembab bisa di gunakan setiap melakukan penghapusan make up sekarang
16,cindyrdi,25 - 29,",25 - 29",08 Dec 2024,5,kemasannya unik dan efeknya bikin kulit cerah dan debu hilang dari wajah. rekomendasi banget buat kulit normal dan agak berjerawat untuk menghilangkan noda hitam bekas jerawat tersebut. sangat disarankan untuk beli dan pakai tiap hari.
17,Elis17_,19 - 24,"Oily, Medium, Neutral",08 Dec 2024,5,"Senang sekali bisa cek skin face di booth ponds dan dapat free nya. Produknya bagus bagus dan semoga bisa bertemu di acara jakarta x beauty 2025 ya ðð dan promonya menarik menarik,,, semangat trs kaka2 spg nya"
18,nndnrm,19 - 24,"Normal, Medium Light, Neutral",08 Dec 2024,5,"Suka banget sama formulanya bikin wajah bersih juga, udah paket komplit buat di gunain. Fragrancenya ga yang wangi banget jadi masih oke buat yg muka sensitif. Harganya lumayan pricey tapi ga papa karna produknya bagus dan aku cocok dimuka aku"
19,noviarkaa,25 - 29,"Combination, Medium Light, Neutral",08 Dec 2024,5,"Aku pakai micelar ini bagus buat kulit kombinasi, dan juga ga ninggalin minyak, untuk maskara waterproof bagus bgtt bisa ilang walaupun harus di telan dulu di area mata. Udh gitu ga perih kalau kena mata tapi untuk luka agak perih yaaa guys jadi hati hati"
20,tina06,19 - 24,"Dry, Medium Light, Neutral",08 Dec 2024,5,bagus hagtsangat worthittt yaaaa bagus treus juga use fulllll yaaaaaa semuanya harap cobain terusssss jugaaaa gampangggg bangetttt digunainnnyaaaa pokoknyaa mustttttt tryyyyy bangerrrrrrrtt deehgg jangan lupa cobainnnn yaa pokonyaa
21,kiki27272,30 - 34,"Combination, Medium, Neutral",08 Dec 2024,5,"POND'S Brightening Mineral Clay Mask adalah salah satu inovasi terbaru dari POND'S dalam kategori masker wajah. Produk ini menggunakan bahan utama berupa mineral clay dan Vitamin B3 untuk memberikan efek pencerahan sekaligus membersihkan wajah secara mendalam. Berikut ulasan lengkapnya:Kelebihan1. Tekstur yang Lembut dan Mudah AplikasikanTekstur clay-nya tidak terlalu kental, sehingga mudah diratakan di wajah. Rasanya lembut di kulit tanpa meninggalkan kesan berat."
22,momchips,25 - 29,"Normal, Medium, Neutral",08 Dec 2024,5,"Setiap habis selalu beli lagi, dan bagus produknya suka banget selalu beli lagi dan lagi, dari dulu udah pakaiPond's ini dan suka banget, karna di pakai nya ringan dan nyegerin di muka, terus ga bikin jerawat dan enak di muka, pokoknyaselalu"
23,midwestprincess,19 - 24,"Normal, Medium Dark, Neutral",08 Dec 2024,5,"ponds micellar water ini sangat ringan dan enteng saat di pakai cepat sekali menghapusnya tinggal 1x swipe aja langsung terangkat semua make up tanpa susah, wanginya juga enak dan texturenya ini cair mudah meresap ke dalam wajah jadi worth to buy"
24,ErnitaGs,30 - 34,"Dry, Light, Warm",08 Dec 2024,4,"Nyoba ini karena dapat free dari fd try, menurut aku ini enak buat apus makeup daily tapi bukan yang waterproof. Kalau untuk makeup waterproof dia kurang nendang sih menurut aku. Apalagi untuk eye makeup yang beneran susah diapus kayak mascara loreal"
25,saput_27,19 - 24,"Normal, Medium Light, Neutral",08 Dec 2024,5,"Pertama kali coba produk ponds ini wangi nya enak Banget dan okesih, sangat membantu mengangkat kotoran dan cocok untuk di kulit aku yang super kering, setelah pakai ini kulit juga semakin bersih dan glowing walaupun ga di bilas , meminimalisir poriâ juga"
26,AmeliaHasiani,19 - 24,"Oily, Medium Dark, Warm",08 Dec 2024,5,Solusi untuk perawatan kulit wajah hingga badan menyeluruh. Hilangkan jerawat & noda hitam serta mencerahkan kulit dengan product POND'S SKIN INSTITUTE Discover your Ultimate Skinâ¢ï¸ Experience skin miracles powered by science from the creators of Niacinamide & 200+ patents. Â· 134 posts.
27,bintangrrr,45 and Above,"Oily, Medium, Neutral",08 Dec 2024,5,"Produk yang sangat bagus. Termasuk produk legendaris. Produk ini menyediakan ke berbagai jenis kulit. Mulai dari sabun, pembersih cream dan lain sebagainya. Banyak teman saya menggunakan produk ini dan selalu bilang produk bagus."
28,amayanti99,30 - 34,"Normal, Medium Light, Neutral",08 Dec 2024,5,"Sangat bagus di kulit dan aman, sangat melembabkan kulit sayaa, ingredients sangat bagus untuk kulit dan cocok untuk saya, sangat bagus sekali saya sangat suka dengan produk ponds ini, sangat harum dan lembut buat badan cocok sukaaaa"
29,oktaaaaaaaaaaaaaaa_,25 - 29,"Oily, Medium, Neutral",08 Dec 2024,5,"sudah pakai berapa botol ga terhitung, ini paling cocok di aku, sebelumnya pakai produk brand lain itu malah bikin kusam setelahnya, akhirnya kembali ke ponds micellar water ini, cocok dan ngga mau ganti lagi, afternya juga ngga bikin beruntusan"
30,estersimamora,19 - 24,"Dry, Medium, Cool",08 Dec 2024,5,"Produk sangat membantu kulit, untuk mencerahkan dan memperbaiki skin barier yang sudah rusak.Khususnya kulit yang kering. Karena sangat memberikan impact yang baik bagi wanita yang ingin kulitnya bersib dan cerah dalam melakukan aktivitas"
31,inke31,30 - 34,"Combination, Medium Dark, Warm",08 Dec 2024,5,"Aku pakai produk ini beli di tokped dan sangaaat cocok sekali. Aku pakai untuk membersihkn make up dan ini bersihhh banget. Cocok dikulit ku, udah pakai ntah berapa banyak. Rekomen untuk dipakai sih san gampang utk didapatkan. Asli suka banget."
